,property_title,property_location,property_area,property_bedrooms,property_bathrooms,property_description,property_agent,property_price
2755,"
4 bedroom house for sale in Kitisuru
","

Kitisuru, Westlands

","
2024 m²
","
4
","








4
 
","
KITISURU:4BEDROOM MANSION FOR SALE
",Jubilee Real Estate,"
KSh 80,000,000
"
2756,"
5 bedroom townhouse for sale in Karen
","

Near Kephis, Karen, Langata

","
6488 ft²
","
5
","








8

","
Exquisite 5 bedroom Townhouses for sale at Kare...
",THE GRAND RAVIX LIMITED,"
KSh 95,000,000
"
2757,"
3 bedroom apartment for sale in Kilimani
","

Ndemi Gardens, Kilimani, Dagoretti North

","
13 m²
","
3
","








2

","
2 & 3 bedroom apartments off Ngong road
",Crystal Valuers LTD,"
KSh 10,800,000
"
2758,"
5 bedroom townhouse for sale in Runda
","

Runda, Westlands

",-,"
 5
","








6

","
5 Bedroom All En suite Townhouse for Sale Rund...
",Trisums Investments Company Ltd,"
KSh 100,000,000
"
2759,"
3 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
3
",-,"
3bdrm + sq Ready for occupation
",REALTY BORIS,"
KSh 19,900,000
"
2760,"
3 bedroom apartment for sale in Kilimani
","

924M, Kilimani, Near Yaya Centre, Kilimani, Dagoretti North

","
1600 ft²
","
3
","








3

","
A complex offering modern three apartments near...
",Ace Realtors Limited,"
KSh 14,500,000
"
2761,"
4 bedroom townhouse for sale in Loresho
","

Loresho, Westlands

","
2467 ft²
","
4
","








3

","
NEW & EXLUSIVE 4 BEDROOM TOWNHOUSE
",A1 Properties Ltd,"
KSh 37,000,000
"
2762,"
4 bedroom townhouse for sale in Karen
","

Karen, Langata

","
2000 m²
","
4
",-,"
KAREN 4 BEDROOM VILLA +DSQ ON 0.5AC, (QUICK SA...
",Splendor Holdings,"
KSh 65,000,000
"
2763,"
5 bedroom villa for sale in Lavington
","

Lavington, Dagoretti North

",-,"
5
","








6

","
An Executive 5 bedroom Villa in Lavingtong
",CAPITAL SHELTER,"
KSh 60,000,000
"
2764,"
3 bedroom apartment for sale in Kiambu Road
","

Green Zone Apartments, Kiambu Road, Kiambu Road

","
144 m²
","
3
","








2

","
Green Zone – Thindigua
",Crystal Valuers LTD,"
KSh 12,000,000
"
2765,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
","








3

","
Lovely and spacious 3 bedroom apartment
",Wilnas Property Ltd,"
KSh 15,500,000
"
2766,"
4 bedroom townhouse for sale in Runda
","

Kiambu Road, Runda, Westlands

","
210 m²
","
4
","








3

","
This is a lovely townhouse, 4 Bedrooms and a DS...
",Leissure Homes Kenya,"
KSh 27,950,000
"
2767,"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
100 m²
","
2
","








2

","
NEW 2 BEDROOM APARTMENT FOR SALE IN KILIMANI 8....
",Splendor Holdings,"
KSh 8,500,000
"
2768,"
7.5 ac residential land for sale in Jogoo Road
","

Jogoo Road, Jogoo Road

","
7 ac
",-,-,"
Developed residential 7.5 Acres land for Sale i...
",Standard Shelters Limited,"
KSh 750,000,000
"
2769,"
4 bedroom house for sale in Karen
","

Ngong road, Karen, Langata

",-,"
4
","








4

","
FOUR BEDROOM PLUS DSQ for sale keraphon
",Pemukika Agency,"
KSh 38,000,000
"
2770,"
4 bedroom townhouse for sale in Lavington
","

Lavington, Lavington, Dagoretti North

",-,"
4
","








4

","
4 Bedroom All En-Suite Lovely Townhouse For Sal...
",Simkar Group Limited,"
KSh 68,000,000
"
2771,"
1 bedroom apartment for sale in Kileleshwa
","

Gatundu Rd, Kileleshwa, Dagoretti North

","
50 m²
","
1
","








1

","
1 Bedroom Apartment for Sale in Kileleshwa
",Sky Limits Ventures,"
KSh 5,000,000
"
2772,"
5 bedroom house for sale in Karen
","

Mbagathi Ridge, Karen, Langata

",-,"
5
","








3

","
Attractive family home set on approx. 3 acres o...
",Knight Frank Kenya,"
KSh 299,700,000
"
2773,"
4 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

","
265 m²
","
4
","








5

","
4 BEDROOM ALL ENSUITE + DSQ
",Abode Realty,"
KSh 23,500,000
"
2774,"
3 bedroom house for sale in Thika Road
","

Ruiru, New Githunguri road, Thika Road, Thika Road

","
145 m²
","
3
","








4

","
Ruiru 3 bedroom all ensuite bungalow for sale
",Jabali Concepts Ltd,"
KSh 5,900,000
"
2775,"
5 bedroom house for sale in Thika Road
","

Exit 13, Kimbo, Thika Road, Thika Road

",-,"
5
","








6

","
EAGLE ESTATE
",Shila Homes,"
KSh 6,500,000
"
2776,"
2 bedroom apartment for sale in Kilimani
","

Argwins kodgek, Argwins kodgek, Kilimani, Dagoretti North

",-,"
2
","








2

","
2 bedroom to let in lavington
",Best of Homes,"
KSh 55,000
"
2777,"
3 bedroom apartment for sale in Kilimani
","

kilimani, Kilimani, Dagoretti North

",-,"
3
","








4

","
Executive three bedrooms all ensuite and servan...
",Comfort Valuers Limited,"
KSh 30,000,000
"
2778,"
5 bedroom villa for sale in Lavington
","

lavington, lavington, Lavington, Dagoretti North

",-,"
5
","








5

","
5 bedroom townhouse for sale in lavington
",Comfort Valuers Limited,"
KSh 43,000,000
"
2779,"
5 bedroom townhouse for sale in Karen
","

Miotoni , Miotoni, Karen, Langata

","
46 m²
","
5
","








5

","
5 Bedroom Newly Built Modern House In Karen Wit...
",Green Knight Properties,"
KSh 120,000,000
"
2780,"
5 bedroom house for sale in Runda
","

Runda, Westlands

","
1400 m²
","
5
",-,"
Ambassadorial 5 bedroom home in Runda
",GerryVille Homes,"
KSh 299,000,000
"
2781,"
0.5 ac residential land for sale in Runda
","

Runda, Westlands

",-,-,-,"
½ Acre Runda Garden Estate
",Rescom Ventures Ltd,"
KSh 35,000,000
"
2782,"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
","








2

","
2 Bedroom Apartment for sale in Kilimani
",Trisums Investments Company Ltd,"
KSh 9,200,000
"
2783,"
2 bedroom apartment for sale in Kilimani
","

1019w, Kilimani Estate, Kilimani, Dagoretti North

","
1100 ft²
","
2
","








3

","
Prestigious two bedroom apartment situated in K...
",Ace Realtors Limited,"
KSh 7,499,999
"
2784,"
4 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
260 m²
","
4
","








4

","
NEW 4 BEDROOM EXECUTIVE APARTMENT FOR SALE, IN...
",Splendor Holdings,"
KSh 23,500,000
"
2785,"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
190 m²
","
3
","








2

","
3 bedroom apartment for sale in Kileleshwa (Ken...
",Pam Golding Properties,"
KSh 18,000,000
"
2786,"
4 bedroom townhouse for sale in Runda
","

Runda, Westlands

","
220 m²
","
4
","








3

","
NEW 4 BEDROOM TOWNHOUSE + DSQ FOR SALE IN RUNDA...
",Splendor Holdings,"
KSh 30,000,000
"
2787,"
3 bedroom villa for sale in Karen
","

Karen, Langata

","
165 m²
","
3
","








2

","
Karen Bungalow
",Tysons Limited,"
KSh 45,000,000
"
2788,"
4 bedroom house for sale in Karen
","

Karen, Langata

",-,"
4
","








4

","
THE BREATH-TAKER
",Twinrocks Property Managers,"
KSh 90,000,000
"
2789,"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
220 m²
","
3
","








3

","
NEW 3 BEDROOM EXECUTIVE APARTMENT + DSQ (STUDIO...
",Splendor Holdings,"
KSh 21,000,000
"
2790,"
3 bedroom apartment for sale in Lavington
","

Mbaazi avenue, Lavington, Dagoretti North

","
180 m²
","
3
","








3

","
MODERN 3 BEDROOMS WITH DSQ APARTMENT FOR SALE I...
",Abode Realty,"
KSh 20,000,000
"
2791,"
3 bedroom house for sale in Kiambu Road
","

Fourways Junction Estate, Kiambu Road, Kiambu Road

","
506 m²
","
3
","








2

","
A 3 BEDROOM VILLA FOR SALE IN FOURWAYS JUNCTION
",Royani Properties Limited,"
KSh 25,000,000
"
2792,"
5 bedroom villa for sale in Karen
","

Karen, Langata

","
650 m²
","
5
","








5

","
NEW KAREN 5 BEDROOM ALL ENSUITE VILLA + 2 DSQ O...
",Splendor Holdings,"
KSh 95,000,000
"
2793,"
5 bedroom villa for sale in Karen
","

Karen, Langata

",-,"
5
","








5

","
Luxurious 5 bedroom villa on 1/2 of an acre wit...
",Wilnas Property Ltd,"
KSh 75,000,000
"
2794,"
4 bedroom house for sale in Spring Valley
","

Spring Valley, Westlands

",-,"
4
",-,"
4 bedroom house for rent in Spring valley
",Canaan Properties,"
KSh 84,000,000
"
2795,"
4000 m² land for sale in Kilimani
","

Kilimani, Dagoretti North

","
4000 m²
",-,-,"
KILIMANI, NEAR YAYA, 1 ACRE FOR SALE, (DISTRESS...
",Splendor Holdings,"
KSh 350,000,000
"
2796,"
Land for sale in Uthiru/Ruthimitu
","

Uthiru/Ruthimitu, Dagoretti South

",-,-,-,"
Prime 1/4 Acre for Sale in Uthiru Ndumboini
",ALIX PROPERTIES LTD,"
KSh 9,500,000
"
2797,"
Studio apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
80 m²
","
0
","








1

","
Studio apartment for sale in Kileleshwa
",Kenya Classic Homes,"
KSh 7,000,000
"
2798,"
2 bedroom apartment for sale in Kileleshwa
","

Gatundu Rd, Kileleshwa, Dagoretti North

","
95 m²
","
2
","








2

","
2 Bedroom Apartment for Sale in Kileleshwa
",Sky Limits Ventures,"
KSh 8,800,000
"
2799,"
4 bedroom townhouse for sale in South C
","

South C, Langata

",-,"
4
","








4

","
FIVE STAR ESTATE PHASE III - PREMIUM
",Olympia Gold Real Estate,"
KSh 26,500,000
"
2800,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
146 m²
","
3
","








3

","
MODERN 3 BEDROOM FOR SALE IN KILIMANI FOR SALE
",Abode Realty,"
KSh 14,500,000
"
2801,"
4 bedroom apartment for sale in Riverside
","

Riverside, Westlands

","
640 m²
","
4
","








5

","
BEAUTIFUL AND EXTREMELY SPACIOUS 4 BEDROOM APAR...
",A1 Properties Ltd,"
KSh 90,000,000
"
2802,"
2 bedroom apartment for sale in Westlands Area
","

Westlands Area, Westlands

",-,"
2
","








2

","
2 Bedroom Apartment for sale in Westlands
",Ring Kenya Ltd,"
KSh 12,700,000
"
2803,"
5 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

",-,"
5
","








6

","
NEW & LAVISH 5 BEDROOM TOWNHOUSE ALL ENSUITE IN...
",A1 Properties Ltd,"
KSh 80,000,000
"
2804,"
2000 m² land for sale in Kilimani
","

Kilimani, Dagoretti North

","
2000 m²
",-,-,"
KILIMANI, NEAR YAYA, 0.5 ACRE FOR SALE, DISTRES...
",Splendor Holdings,"
KSh 220,000,000
"
2805,"
5 bedroom townhouse for sale in Lavington
","

Isaac Gathanju, Lavington, Dagoretti North

",-,"
5
","








6

","
Town Houses for Sale in Lavington
",Trendy Living,"
KSh 65,000,000
"
2806,"
Commercial land for sale in Lavington
","

Lavington, Dagoretti North

",-,-,-,"
A Gorgeous 1.6 Acres Piece of Land For Sale
",Chateau Realty Group,"
P.O.A
"
2807,"
4 bedroom apartment for sale in Parklands
","

Parklands, Parklands, Parklands, Westlands

",-,"
4
","








4

","
A new $ Bedroomed Apartment With Staff Quarters...
",Keensell Ventures LTD,"
KSh 26,000,000
"
2808,"
Land for sale in Gigiri
 ","

UN Crescent, Gigiri, Westlands

",-,-,-,"
LAND FOR SALE IN UN CRESCENT, GIGIRI, NAIROBI
",Knight Frank Kenya,"
KSh 70,000,000
"
2809,"
5 bedroom house for sale in Karen
","

Fair Acres, Karen, Langata

",-,"
5
","








5

","
QUICK SALE ..KAREN FAIR ACRES 5BR House
",Green Knight Properties,"
KSh 70,000,000
"
2810,"
3 bedroom house for sale in Ruai
","

Kangundo road, Ruai, Kasarani

","
306 m²
","
3
","








3

","
Spacious 3 bedroom bungalows
 ",Property Point Urban Kenya,"
KSh 4,750,000
"
2811,"
3 bedroom apartment for sale in Riverside
 ","

Riverside Drive, Riverside, Westlands

",-,"
3
","








3

","
3 Bedroom Apartment for Sale in Riverside
",Sky Limits Ventures,"
KSh 16,500,000
"
2812,"
5 bedroom apartment for sale in Westlands Area
","

Westlands Area, Westlands

","
387 m²
","
5
","








4

","
Sky View Gardens Apartments
",Tribeka Business Solutions Ltd,"
KSh 55,000,000
"
2813,"
5 bedroom townhouse for sale in Karen
","

Karen, Langata

","
798 m²
","
5
","








6

","
5 bedrooms all ensuite for sale in karen
",Kenya Classic Homes,"
KSh 120,000,000
"
2814,"
5 bedroom house for sale in Thika Road
","

Exit 14 kenyatta road, Kimunyu shopping centre, Thika Road, Thika Road

",-,"
5
","








6

","
OSTRICH GARDENS ESTATE
",Shila Homes,"
KSh 6,500,000
"
2815,"
5 bedroom townhouse for sale in Loresho
","

Loresho, Loresho, Westlands

",-,"
5
","








6

","
Exquisite 5 Bedroom Townhouse for Sale in Lores...
",Sky Limits Ventures,"
KSh 110,000,000
"
2816,"
1 bedroom apartment for sale in Runda
","

924M, Two Rivers, Limuru Road, Runda, Runda, Westlands

","
615 ft²
","
1
","








2

","
(UNDER CONSTRUCTION) Extraordinary one-bedroom...
",Ace Realtors Limited,"
KSh 8,500,000
"
2817,"
2 bedroom apartment for sale in General Mathenge
","

General Mathenge, Westlands

",-,"
2
","








3

","
2, 3 & 4 Bedroom High-End Apartments
",Henley Green Realty,"
KSh 17,500,000
"
2818,"
Studio apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
0
",-,"
One Bedroom Apartments For Sale
",Citiscape Valuers & Estate Agents Ltd,"
KSh 4,000,000
"
2819,"
4 bedroom house for sale in Karen
","

murishu lane, Karen, Langata

","
2025 m²
","
4
","








4

","
Elegant four bedroom house
",Rayalink Properties,"
KSh 80,000,000
"
2820,"
5 bedroom townhouse for sale in Lavington
","

Convent Drive, Lavington, Dagoretti North

",-,"
5
","








6

","
5 bedroom townhouse for sale in Lavington
",Sky Limits Ventures,"
KSh 85,000,000
"
2821,"
5 bedroom house for sale in Karen
","

Karen, Langata

",-,"
5
","








4

","
EXCLUSIVE MAISONETTE IN KAREN
",Miamu Properties Limited,"
KSh 90,000,000
"
2822,"
3 bedroom apartment for sale in Langata Area
","

Langata Area, Langata

",-,"
3
","








2

","
3 BDRM APARTMENT IN LANG&#39;ATA FOR SALE
",Lighthouse Homes Limited,"
KSh 8,000,000
"
2823,"
4 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
257 m²
","
4
","








4

","
NEW 4 BEDROOM EXECUTIVE APARTMENT FOR SALE, IN...
",Splendor Holdings,"
KSh 23,500,000
"
2824,"
3200 ft² commercial land for sale in Utawala
","

Utawala, Embakasi

","
3200 ft²
",-,-,"
40*80 COMMERCIAL PLOT FOR SALE IN UTAWALA-NEAR...
",Havilaplus Estates Ltd,"
KSh 4,200,000
"
2825,"
2024 m² residential land for sale in Runda
","

Runda, Runda, Westlands

","
2024 m²
",-,-,"
0.5 Acre plot For Sale in Runda Muringa
",Simkar Group Limited,"
KSh 23,500,000
"
2826,"
5 bedroom townhouse for sale in South C
","

South C, Langata

",-,"
5
","








5

","
FIVE STAR ESTATE PHASE III - EXECUTIVE
",Olympia Gold Real Estate,"
KSh 43,500,000
"
2827,"
4 bedroom townhouse for sale in Karen
","

Karen, Langata

",-,"
4
","








4

","
4 beautiful bedrooms townhouse for sale in kare...
",Dakima Home International,"
KSh 70,000,000
"
2828,"
3200 m² residential land for sale in Lavington
","

Lavington, Dagoretti North

","
3200 m²
",-,-,"
LAVINGTON, RIARA RD 0.75 ACRE FOR SALE (DISTRES...
",Splendor Holdings,"
KSh 250,000,000
"
2829,"
0.5 ac land for sale in Donholm
","

Outer Ring Road, Donholm, Embakasi

",-,-,-,"
Donholm Plot
",Dunhill Consulting Limited,"
P.O.A
"
2830,"
4 bedroom apartment for sale in Riverside
","

Off Riverside Drive, Riverside, Westlands

","
3100 m²
","
4
","








4

","
4 Bedroom plus Dsq Masterpiece Duplexes - Olymp...
",Olympia Gold Real Estate,"
KSh 54,000,000
"
2831,"
5 bedroom house for sale in Karen
","

Banda Lane, Karen, Langata

","
1 ac
","
 5
","








4

","
5 bedroom house for sale on Banda Lane
",Knight Frank Kenya,"
KSh 100,000,000
"
2832,"
5 bedroom house for sale in Rosslyn
","

westlands, Lone Treee, Rosslyn, Westlands

",-,"
5
","








5

","
5 Bedroom house to let in Rosslyn Estate
",Crystal Valuers LTD,"
KSh 85,000,000
"
2833,"
5 bedroom house for sale in Langata Area
","

Langata Area, Langata

","
2800 m²
","
5
","








4

","
4 BR House Plus Sqs in Dams Estate Langata - Na...
",Leilach Properties,"
KSh 20,000,000
"
2834,"
4 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

","
260 m²
","
4
","








4

","
NEW 4 BEDROOM EXECUTIVE APARTMENT + DSQ LAVIN...
",Splendor Holdings,"
KSh 23,000,000
"
2835,"
3 bedroom apartment for sale in Rhapta Road
","

Rhapta Road, Rhapta Road, Westlands

",-,"
3
","








3

","
3 Bedroom Apartment For Sale On Rhapta Road
",Coral Property International Ltd,"
KSh 15,900,000
"
2836,"
4 bedroom townhouse for sale in Langata Area
","

Langata Area, Langata

","
270 m²
","
4
","








4

","
NEW 4 BEDROOM TOWNHOUSE ALL ENSUITE + DSQ FOR S...
",Splendor Holdings,"
KSh 32,000,000
"
2837,"
5 bedroom townhouse for sale in Lavington
","

Lavington, Lavington, Dagoretti North

",-,"
5
","








5

","
Stunning 5 bedroom Townhouse for sale in Laving...
",Olympia Gold Real Estate,"
KSh 85,000,000
"
2838,"
6 bedroom house for sale in Karen
","

karen, karen, Karen, Langata

","
10000 ha
","
6
","








6

","
one full acre six bedrooms mansion with heated...
",Comfort Valuers Limited,"
KSh 160,000,000
"
2839,"
1 ac residential land for sale in Karen
","

Karen, Langata

","
1 ac
",-,-,"
Karen 1ac plot @60M per Acre
",Splendor Holdings,"
KSh 60,000,000
"
2840,"
3200 m² land for sale in Kilimani
","

Kilimani, Dagoretti North

","
3200 m²
",-,-,"
KILIMANI, NEAR YAYA, 0.8 ACRE FOR SALE, (DISTRE...
",Splendor Holdings,"
KSh 300,000,000
"
2841,"
7 bedroom house for sale in Lavington
","

Manyani East Road, Lavington, Dagoretti North

",-,"
7
","








5

","
5 & 7 Bedroom Standalone House On One Acre For...
",Coral Property International Ltd,"
KSh 75,000,000
"
2842,"
4 bedroom house for sale in Karen
","

Karen, Langata

",-,"
4
","








4

","
Peaceful Dwellings: 4 Bedroom Townhouse for Sal...
",Twinrocks Property Managers,"
KSh 65,000,000
"
2843,"
6 bedroom townhouse for sale in Karen
","

Kerarapon, Karen, Langata

",-,"
6
","








6

","
6 Bedroom Massionette for sale along Ngong road...
",Havilaplus Estates Ltd,"
KSh 33,000,000
"
2844,"
4 bedroom house for sale in Old Muthaiga
","

Mura Park Road, Old Muthaiga, Muthaiga

","
5018 m²
","
4
","








3

","
Bungalow In Old Muthaiga
",HassConsult,"
KSh 240,000,000
"
2845,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
",-,"
Kilimani 3bedroom plus Dsq apartment for sale
",Canaan Properties,"
KSh 12,000,000
"
2846,"
4 bedroom house for sale in Karen
","

karen, Karen, Langata

",-,"
4
",-,"
HOUSE FOR SALE IN KAREN
",UMATI HOMES LTD,"
KSh 75,000,000
"
2847,"
3 bedroom apartment for sale in Westlands Area
","

Westlands Area, Westlands

",-,"
3
","








4

","
SPACIOUS 3 BEDROOMS + DSQ IN WESTLANDS
",Kenya Classic Homes,"
KSh 23,000,000
"
2848,"
4047 m² residential land for sale in Karen
","

Marula Lane, Karen, Langata

","
4047 m²
",-,-,"
RESIDENTIAL LAND for sale in Marula lane, Karen
",Twinrocks Property Managers,"
KSh 62,000,000
"
2849,"
5 bedroom house for sale in Karen
","

Karen, Langata

",-,"
5
","








6

","
Exclusive 5 bedroomhouse
",Azizi Realtors,"
KSh 120,000,000
"
2850,"
3 bedroom townhouse for sale in Kiambu Road
","

Kiambu Road, Kiambu Road

",-,"
3
",-,"
3 Bedroom Townhouse For Sale in Kiambu
",HassConsult,"
KSh 21,500,000
"
2851,"
2000 m² commercial land for sale in Waiyaki Way
","

Waiyaki Way, Westlands

","
2000 m²
",-,-,"
WESTLANDS, 0.5 ACRE OFF WAIYAKI WAY (2ND ROW),...
",Splendor Holdings,"
KSh 180,000,000
"
2852,"
4 bedroom townhouse for sale in South C
","

South C, South C, Langata

",-,"
4
","








3

","
Townhouse for Sale
",Red Knot  Properties Limited,"
KSh 25,000,000
"
2853,"
0.5 ac land for sale in Karen
","

Karen, Langata

",-,-,-,"
LAND FOR SALE
",AMAYA REALTORS,"
KSh 30,000,000
"
2854,"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
130 m²
","
3
","








3

","
3 Bedroom Apartment for Sale in Kileleshwa Nair...
",Sky Limits Ventures,"
KSh 12,500,000
"
